location_id,name,latitude,longitude,city,country,is_monitor,latest_pm25,latest_pm10,latest_no2,latest_datetime,nearest_park,distance,count_nearby_parks
947177,Oxnard ES (5918),34.1785,-118.36865,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,9.754746572204894,0
947180,Roybal LC (8544),34.06178,-118.25487,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Vista Hermosa Park,0.18676058309293517,23
947182,Kenter Canyon ES (4699),34.07063,-118.48905,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Lucy Park,15.452552458725652,0
947183,Budlong ES (2616),33.98678,-118.29511,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Harvard Playground,0.927779379085849,6
947185,Fernangeles ES (3753),34.23173,-118.39503,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,North Atwater Park,15.736116747160503,0
947186,Gardena HS (8664),33.8684,-118.29676,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Mount Carmel Recreation Center,11.958612050570503,0
947187,Dixie Canyon ES (3438),34.14798,-118.42394,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,10.971394427570564,0
947188,Van Deene Ave ES (7419),33.83794,-118.28869,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,15.283478721310594,0
947189,La Salle ES (4786),33.95766,-118.30628,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Mount Carmel Recreation Center,2.6241232990384438,0
947191,Chapman ES (2986),33.89551,-118.31287,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Mount Carmel Recreation Center,9.209172283536413,0
947192,Roscomare Rd ES (6363),34.11992,-118.46455,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,13.540976512050753,0
947193,7370 - Utah El,34.04922005,-118.224627,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,0.06494219461017063,16
947194,Lowman Sp Ed Ctr (1948),34.20698,-118.41306,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,14.60986709802211,0
947196,5986 - Palms ES,34.19444,-118.157795,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Busch Gardens,7.238984979656074,0
947197,Garfield HS/Monterey CHS (8677),34.02844,-118.15864,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Bristow Park,1.9097069409007603,2
947199,Mountain View ES (5404),34.24829,-118.27239,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,North Atwater Park,12.862354060719593,0
947201,San Pedro ES (6507),34.02899,-118.25773,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Trinity Park,0.7206216839658867,6
947202,West Hollywood ES (7649),34.08906,-118.3867,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Lucy Park,5.974470365568772,0
947206,Logan ES (4904),34.0796,-118.25754,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Echo Park,0.7681373161742298,12
947207,Coeur D Alene ES (6342),33.98975,-118.45305,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,12.403911127995793,0
947208,Delevan Drive ES (3397),34.12853,-118.22679,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,1.364972999062924,6
947211,Normandie ES (5630),34.00289,-118.29905,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Vermont Square Park,0.33198624623412865,9
947212,Webster MS (8481),34.02911,-118.43553,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Peace Awareness Labyrinth and Gardens,10.382525438655787,0
947213,Sherman Oaks ES (6699),34.14998,-118.45502,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,13.635789026551377,0
947215,Dominguez ES (3466),33.83612,-118.21385,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,15.092892220249787,0
947216,Avalon Gardens ES (2247),33.90501,-118.2685,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,7.625447029927234,0
947218,Grand View ES (4247),34.00182,-118.42993,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,10.358329056173925,0
947219,Russell ES (6438),33.96098,-118.25199,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,1.3689232185917395,1
947220,Verdugo Hills HS (8914),34.26141,-118.29929,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,North Atwater Park,14.524486103619461,0
947221,Elizabeth Learning Ctr (3548),33.96405,-118.18337,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Veterans Memorial Park,1.4681780687077823,3
947227,Montara Ave ES (6878),33.94433,-118.21836,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Salt Lake Park,3.49793743547011,0
947228,Lenicia Weemes ES (7151),34.02143,-118.29596,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Rolland Curtis Park,0.6434561557439299,18
947229,Graham ES (4219),33.96101,-118.2382,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,1.0708510289518203,1
947230,Stonehurst ES (6945),34.24889,-118.37066,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,North Atwater Park,15.747616457659657,0
947233,2068 - Allesandro Elementary,34.1019316,-118.2519373,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Rattlesnake Park,0.6828804636787743,15
947234,Virginia ES (7575),34.02852,-118.33999,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Peace Awareness Labyrinth and Gardens,1.645098116488826,2
947235,Solano ES (6836),34.07602,-118.2323,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Ed P. Reyes River Greenway,0.7336483017706783,20
947236,Monlux ES (5342),34.18168,-118.40996,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,12.262420414838953,0
947238,Jefferson HS (8714),34.01106,-118.25092,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Ross Snyder Recreation Center,0.3361579030748795,8
947241,Metropolitan HS (8757),34.03397,-118.2344,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,0.7930333319588783,8
947242,Marlton ES (1949),34.00867,-118.34373,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Leslie N Shaw Park,2.9090862763085252,0
947244,Byrd MS (8080),34.2232,-118.40812,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,15.85713566077446,0
947247,Toluca Lake ES (7192),34.15921,-118.36042,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,7.517149888808515,0
947249,59th St ES (3795),33.98638,-118.32011,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,0.44699623087167667,3
947250,Marvin ES (5178),34.03556,-118.36449,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Peace Awareness Labyrinth and Gardens,3.86180338823361,0
947252,Aragon ES (2178),34.09486,-118.22553,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Cypress Park Recreation Center,0.633514466776041,14
947254,Esperanza ES (2383),34.05496,-118.27168,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Hope and Peace Park,0.5177933130644,20
947259,Playa Del Rey ES (6110),33.98287,-118.40974,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,8.45799253387434,0
